text,sentiment,label
"According to Gallup Food and Farm Facts , beef consumption totaled 99mn kilos in Finland in 2007 .",neutral,1
"The official opening of the office , located in Prague , will be celebrated on May 20 .",neutral,1
"HELSINKI AFX - Cramo said it has agreed to sell Cramo Nederland BV CNL , its Dutch machinery and equipment rental unit , to Jaston Groep for an undisclosed sum .",neutral,1
"A spokesman said : `` The food store center , subject to council and local support , could comprise a supermarket or smaller store and other niche outlets , and this will be firmed up following consultation with the council and local community regarding appropriate uses and occupiers . ''",neutral,1
The company turned to earnings per share ( EPS ) of EUR 0.03 versus loss per share of EUR 0.01 .,positive,2
"Currently it operates a fleet of eight carriers , as well as nine pushers and barges .",neutral,1
"Mobile phone shipments jumped 26 percent to almost 112 million units , while Finnish company 's global market share rose to 39 percent from 36 percent .",positive,2
"At the end of the review period , Nordic Aluminium 's order book stood at EUR 8.77 mn compared to EUR 7.04 in 2005 .",positive,2
"In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 .",positive,2
This combined with foreign investments creates interesting opportunities for Solteq .,positive,2
"The interim report for the first quarter is published on May 8 , 2009 .",neutral,1
The dismissed staff members will now take the matter to court unless it can be settled outside .,negative,0
Combined net sales in 2006 were $ 27 million and EBITDA was $ 13.7 million .,neutral,1
"The most interesting export markets will be Russia , the Baltic countries and Scandinavia .",neutral,1
"In addition , the company is considering the start of production in Russia .",neutral,1
"One of the headboxes will be equipped with a modern consistency control system to ensure cross machine profile of the plasterboard , company said in a statement received by Lesprom Network .",neutral,1
Rautaruukki Corporation Stock exchange release 3 December 2009 at 12 noon Ruukki 's construction and engineering divisions are to further improve and adjust their operations in Finland .,positive,2
"So far as is known , he did not sell shares that he owns personally .",neutral,1
"Currently Glaston employs approximately 1,500 persons .",neutral,1
`` The combined activities will create value for shareholders and be good for our employees and customers .,positive,2
"Proline Plus is available in both adjustable single and multichannel models and fixed volume single-channel models , in volume ranges from 0.1 micro litres to 10 ml .",neutral,1
Suomen Paikallissanomat Oy is part of Alma Media Group and it currently publishes 15 local newspapers across Finland .,neutral,1
The hack had been extra nefarious because the tweets activated without being clicked on - it was enough for Web surfers to move their mouse cursors over them .,negative,0
Aktia forecasts Finland 's inflation at 1.1 % in 2010 .,neutral,1
