text,label,sentiment,source,model
"Amazon announces the launch of a new solar energy project in Texas, aiming to bolster its renewable energy portfolio.",1,neutral,synthetic,mistral:7b
Tech giant Apple Inc. announces the launch of a new product line at its annual developer conference.,1,neutral,synthetic,mistral:7b
"Tesla announces the launch of its new Solar Roof tile variant, optimized for energy efficiency.",1,neutral,synthetic,mistral:7b
Amazon announces a new partnership with Deloitte for cloud consulting services.,1,neutral,synthetic,mistral:7b
Amazon announces the launch of a new renewable energy project in India.,1,neutral,synthetic,mistral:7b
IBM announces the launch of its new cloud-based data analytics platform.,1,neutral,synthetic,mistral:7b
"Microsoft announces the launch of its new cloud-based productivity suite, set to be available globally starting next quarter.",1,neutral,synthetic,mistral:7b
Tech giant Alphabet's subsidiary Waymo announces a partnership with ride-hailing service Lyft to expand autonomous vehicle testing in five new cities.,1,neutral,synthetic,mistral:7b
Tesla Inc. announces a planned Q3 earnings report on August 4th.,1,neutral,synthetic,mistral:7b
Microsoft announces the launch of its new cloud-based productivity suite for small businesses.,1,neutral,synthetic,mistral:7b
IBM announces the launch of a new cloud-based analytics platform aimed at enhancing data management for businesses.,1,neutral,synthetic,mistral:7b
"Pharmaceutical giant Pfizer announces the appointment of Dr. Jane Thompson as its new Chief Research Officer, effective immediately.",1,neutral,synthetic,mistral:7b
"Microsoft Corporation announces the launch of its new cloud-based productivity suite, 'Office 365 Fx', set to be available worldwide by Q1 next year.",1,neutral,synthetic,mistral:7b
Tech giant Microsoft announces a new cloud-based collaboration tool set to launch next month.,1,neutral,synthetic,mistral:7b
Amazon announces the launch of a new delivery drone service in select cities.,1,neutral,synthetic,mistral:7b
IBM announces the launch of a new cloud-based data analytics service for small businesses.,1,neutral,synthetic,mistral:7b
"Amazon announces the launch of a new logistics center in Dallas, set to create over 1,000 jobs by year-end.",1,neutral,synthetic,mistral:7b
"Amazon announces the launch of its new sustainable packaging initiative, aiming to reduce waste and carbon footprint.",1,neutral,synthetic,mistral:7b
Amazon announces the launch of a new solar-powered data center in Virginia.,1,neutral,synthetic,mistral:7b
Microsoft announces the launch of a new cloud-based productivity suite for small businesses.,1,neutral,synthetic,mistral:7b
Tesla announces the launch of its new electric semi-truck model at an event in California.,1,neutral,synthetic,mistral:7b
IBM announces the launch of its new quantum computing software suite for research institutions.,1,neutral,synthetic,mistral:7b
Amazon announces the launch of a new solar-powered data center in Virginia.,1,neutral,synthetic,mistral:7b
"Tech giant Microsoft announces the launch of its new cloud-based productivity suite, aimed at small and medium businesses.",1,neutral,synthetic,mistral:7b
"Tech giant Microsoft announces the launch of its new cloud-based productivity suite, set to roll out in Q3 2023.",1,neutral,synthetic,mistral:7b
"Tech giant Apple announces the launch of its new streaming service, Apple TV+, set to debut on November 1.",1,neutral,synthetic,mistral:7b
IBM announces the launch of a new cloud-based analytics platform for small businesses.,1,neutral,synthetic,mistral:7b
Amazon announces plans to launch a new sustainability initiative focusing on reducing packaging waste by 2025.,1,neutral,synthetic,mistral:7b
Amazon Web Services announces the launch of a new data center in Dublin to support growing European customer base.,1,neutral,synthetic,mistral:7b
Amazon Web Services (AWS) announces a new cloud security service aimed at enhancing data protection for small and medium-sized businesses.,1,neutral,synthetic,mistral:7b
"Amazon announces the launch of a new renewable energy project in Texas, aiming to power its fulfillment centers with wind energy.",1,neutral,synthetic,mistral:7b
Amazon announces the launch of a new solar-powered delivery station in California.,1,neutral,synthetic,mistral:7b
"Amazon announces a new renewable energy project in Texas, furthering its commitment to powering its operations with sustainable sources.",1,neutral,synthetic,mistral:7b
"Tech giant Google announces the launch of its new cloud-based productivity suite, aimed at enhancing collaboration and productivity for businesses worldwide.",1,neutral,synthetic,mistral:7b
"Amazon announces the launch of a new solar-powered data center in Oregon, marking its commitment to renewable energy sources.",1,neutral,synthetic,mistral:7b
Amazon announces the launch of a new cloud service for small businesses.,1,neutral,synthetic,mistral:7b
Tesla Inc. announces the launch of its new solar roof tile product line.,1,neutral,synthetic,mistral:7b
"Tech giant Microsoft announces the launch of a new cloud-based productivity suite, set to roll out in Q2 2023.",1,neutral,synthetic,mistral:7b
Amazon announces the launch of a new solar energy farm in Texas to power its data centers and meet sustainability goals.,1,neutral,synthetic,mistral:7b
Amazon announces the launch of a new logistics center in Atlanta to strengthen its delivery network.,1,neutral,synthetic,mistral:7b
"Tech giant Google announces the launch of its new cloud-based analytics platform, set to enhance business operations for clients worldwide.",1,neutral,synthetic,mistral:7b
"Tech giant Google announces the launch of its new AI-powered cloud service, Cloud Vision API, aimed at enhancing image analysis capabilities for businesses worldwide.",1,neutral,synthetic,mistral:7b
"Google announces the launch of a new cloud-based productivity suite, designed to enhance collaboration for businesses worldwide.",1,neutral,synthetic,mistral:7b
"Microsoft announces the launch of its new cloud-based AI platform for businesses, set to roll out in Q4 2023.",1,neutral,synthetic,mistral:7b
"Tech giant Microsoft announces the launch of its new cloud-based productivity suite, set to roll out in Q4 this year.",1,neutral,synthetic,mistral:7b
"IBM announces the appointment of Jane Doe as its new Chief Financial Officer, effective March 1st.",1,neutral,synthetic,mistral:7b
IBM announces the launch of a new cloud-based data analytics platform for small and medium-sized businesses.,1,neutral,synthetic,mistral:7b
"Amazon announces the launch of a new renewable energy project in Texas, aiming to power more than 150,000 homes annually.",1,neutral,synthetic,mistral:7b
IBM announces the launch of a new cloud-based data analytics service for small businesses.,1,neutral,synthetic,mistral:7b
Amazon announces the launch of a new delivery drone service for select cities in the U.S. starting next year.,1,neutral,synthetic,mistral:7b
Goldman Sachs announces the appointment of Jane Thompson as the new Global Head of Sustainable Finance.,1,neutral,synthetic,mistral:7b
"Amazon announces the launch of a new solar-powered delivery station in California, marking its continued commitment to sustainable operations.",1,neutral,synthetic,mistral:7b
"ABC Corp announces the appointment of Jane Doe as Chief Financial Officer, effective immediately.",1,neutral,synthetic,mistral:7b
Tech giant Microsoft announces a new partnership with IBM for cloud computing services integration.,1,neutral,synthetic,mistral:7b
"IBM announces the launch of its new cloud-based AI platform, aimed at enhancing enterprise analytics capabilities.",1,neutral,synthetic,mistral:7b
"Global Tech Industries announces the appointment of Jane Thompson as Chief Operating Officer, effective immediately.",1,neutral,synthetic,mistral:7b
Amazon announces plans to expand its renewable energy portfolio by investing in new wind farms.,1,neutral,synthetic,mistral:7b
Tech giant Microsoft announces the launch of its new cloud-based productivity suite for small businesses.,1,neutral,synthetic,mistral:7b
"Tesla announces the launch of its new Solar Roof tile, set to debut in select home installation projects this quarter.",1,neutral,synthetic,mistral:7b
Amazon announces plans to expand its renewable energy portfolio with a new solar farm in Texas.,1,neutral,synthetic,mistral:7b
IBM announces a new cloud-based data analytics service for small businesses.,1,neutral,synthetic,mistral:7b
IBM announces the launch of a new cloud-based data analytics platform for small and medium-sized businesses.,1,neutral,synthetic,mistral:7b
"Microsoft announces the launch of its new cloud-based data analytics service, Azure Synapse Analytics, aimed at enhancing business intelligence solutions for clients worldwide.",1,neutral,synthetic,mistral:7b
IBM announces the launch of its new cloud-based data analytics platform for small businesses.,1,neutral,synthetic,mistral:7b
Amazon announces plans to expand its renewable energy portfolio with a new wind farm in Texas.,1,neutral,synthetic,mistral:7b
Apple Inc. announces plans to launch a new software update for iOS devices next month.,1,neutral,synthetic,mistral:7b
"Goldman Sachs announces the appointment of Jane Smith as Head of Sustainable Finance for Europe, Middle East, and Africa region.",1,neutral,synthetic,mistral:7b
"Goldman Sachs announces the appointment of Jane Kim as its new Chief Information Officer, effective immediately.",1,neutral,synthetic,mistral:7b
IBM announces the launch of a new cloud-based data analytics service for small businesses.,1,neutral,synthetic,mistral:7b
Goldman Sachs announces the appointment of Jane Thompson as Head of its Global Investment Research division.,1,neutral,synthetic,mistral:7b
Amazon announces the launch of a new sustainable packaging initiative for all Amazon shipments worldwide.,1,neutral,synthetic,mistral:7b
"Tech giant Microsoft Corporation announces the launch of its new cloud-based productivity suite, Office 365 F3, aimed at expanding its market share in developing countries.",1,neutral,synthetic,mistral:7b
Amazon announces the launch of a new sustainable packaging initiative as part of its ongoing commitment to reducing environmental footprint.,1,neutral,synthetic,mistral:7b
IBM announces the launch of its new AI-powered cloud service for small businesses.,1,neutral,synthetic,mistral:7b
IBM announces the launch of a new cloud-based AI solution for small businesses.,1,neutral,synthetic,mistral:7b
"Goldman Sachs announces the appointment of Jane Thompson as its new Chief Operating Officer, effective immediately.",1,neutral,synthetic,mistral:7b
"Tech giant IBM announces the launch of a new cloud-based data analytics platform, set to be available for clients worldwide by Q3 2023.",1,neutral,synthetic,mistral:7b
Amazon announces the launch of a new renewable energy project in Texas to power its data centers and warehouses.,1,neutral,synthetic,mistral:7b
