text,label,sentiment,source,model
"The company announced the appointment of Emily Chen as its new Chief Financial Officer, effective April 15th.",1,neutral,synthetic,llama3.1:latest
The company announced that it will be holding its annual shareholders meeting on May 15th at the downtown conference center.,1,neutral,synthetic,llama3.1:latest
The company announced that its annual shareholders' meeting will be held on May 15th at the Hilton Hotel in downtown New York.,1,neutral,synthetic,llama3.1:latest
The company's annual shareholders' meeting is scheduled to take place on April 15th at its headquarters in New York.,1,neutral,synthetic,llama3.1:latest
The company announced today that it has scheduled a shareholder meeting for March 15th to review its annual earnings report.,1,neutral,synthetic,llama3.1:latest
The company announced today that its annual shareholders meeting will be held on April 15 at the New York Hilton Midtown.,1,neutral,synthetic,llama3.1:latest
"The company announced the launch of its new mobile banking app, which is expected to roll out nationwide by the end of 2023.",1,neutral,synthetic,llama3.1:latest
The company announced that it will hold its annual shareholders meeting on May 10th to review the past year's performance and discuss future strategies.,1,neutral,synthetic,llama3.1:latest
"The company announced the appointment of a new Chief Financial Officer to oversee its global operations, effective January 15th.",1,neutral,synthetic,llama3.1:latest
The company announced that its annual general meeting will take place on April 15th at the New York Stock Exchange headquarters.,1,neutral,synthetic,llama3.1:latest
The company announced that it will hold its annual general meeting on April 15 to review the previous year's performance.,1,neutral,synthetic,llama3.1:latest
"The company announced that it has appointed Maria Rodriguez as its new Chief Operating Officer, effective immediately.",1,neutral,synthetic,llama3.1:latest
"The company announced today that it has appointed John Smith as Chief Financial Officer, effective January 1st.",1,neutral,synthetic,llama3.1:latest
The company announced the appointment of a new Chief Financial Officer to oversee its North American operations.,1,neutral,synthetic,llama3.1:latest
The company announced that its CFO will resign effective at the end of the month to pursue other opportunities.,1,neutral,synthetic,llama3.1:latest
The company announced today that it has filed its annual report on Form 10-K with the Securities and Exchange Commission.,1,neutral,synthetic,llama3.1:latest
The company announced that it will hold its annual general meeting on May 15th to review last year's performance and discuss strategic plans for the coming year.,1,neutral,synthetic,llama3.1:latest
"The company announced today that it will release its Q2 earnings report on August 15th, as previously scheduled.",1,neutral,synthetic,llama3.1:latest
The company announced that it will hold its annual general meeting on April 15th to discuss upcoming strategic initiatives and review last year's financial performance.,1,neutral,synthetic,llama3.1:latest
The company announced that its annual general meeting will be held on May 15th to review last year's performance and discuss future strategies.,1,neutral,synthetic,llama3.1:latest
The company announced that its Board of Directors has approved a quarterly dividend payout of $0.20 per share for the next fiscal period.,1,neutral,synthetic,llama3.1:latest
The company announced plans to release its quarterly earnings report on February 15th as previously scheduled.,1,neutral,synthetic,llama3.1:latest
The company announced that its upcoming annual general meeting will be held on March 15 at the headquarters in New York.,1,neutral,synthetic,llama3.1:latest
The company announced that it will be holding its annual shareholders meeting on March 17th at the corporate headquarters in New York City.,1,neutral,synthetic,llama3.1:latest
The company announced that its annual general meeting will be held on March 15th at the Sheraton Hotel in downtown London.,1,neutral,synthetic,llama3.1:latest
The company's annual general meeting is set to take place on March 15th at the Hilton Hotel in downtown London.,1,neutral,synthetic,llama3.1:latest
The company's annual general meeting will be held on March 15th to review the previous year's performance and discuss future strategies.,1,neutral,synthetic,llama3.1:latest
The company announced that its annual general meeting will be held on April 15th to discuss the previous fiscal year's performance and election of directors.,1,neutral,synthetic,llama3.1:latest
The company announced that its annual general meeting will be held on April 15th at the usual venue in London.,1,neutral,synthetic,llama3.1:latest
"The company announced the appointment of John Smith as its new Chief Financial Officer, effective March 1st.",1,neutral,synthetic,llama3.1:latest
"The company announced that it will release its Q2 earnings report on August 15th, as previously scheduled.",1,neutral,synthetic,llama3.1:latest
The company announced that it will be presenting at the upcoming annual investor conference on March 15th.,1,neutral,synthetic,llama3.1:latest
"The company announced the appointment of Jane Smith as its new Chief Financial Officer, effective March 1st.",1,neutral,synthetic,llama3.1:latest
The company announced that its quarterly earnings report is scheduled to be released on January 15th at 8am EST.,1,neutral,synthetic,llama3.1:latest
"The company announced that its Chief Financial Officer, Jane Smith, will be retiring at the end of June and will be replaced by current Treasurer, Michael Johnson.",1,neutral,synthetic,llama3.1:latest
The company's annual general meeting will be held on May 15 to discuss the previous year's performance and strategic direction.,1,neutral,synthetic,llama3.1:latest
The company's annual general meeting is set to take place on March 15th at the London Stock Exchange.,1,neutral,synthetic,llama3.1:latest
"The company has announced the launch of a new mobile payment service in conjunction with a major bank, set to begin testing later this month.",1,neutral,synthetic,llama3.1:latest
The company announced that its board of directors has declared a quarterly dividend of $0.25 per share payable on December 15th to shareholders as of November 30th.,1,neutral,synthetic,llama3.1:latest
The company announced that it will be holding its annual shareholders meeting on May 15th at the downtown Marriott hotel.,1,neutral,synthetic,llama3.1:latest
Microsoft has announced the launch of a new cloud-based productivity suite to be available on its Azure platform starting in Q2 next year.,1,neutral,synthetic,llama3.1:latest
The company's annual general meeting is scheduled to take place on March 15th at the headquarters in London.,1,neutral,synthetic,llama3.1:latest
"Microsoft Corporation announced that its CFO, Amy Hood, will present at the Goldman Sachs Technology and Internet Conference on February 10th.",1,neutral,synthetic,llama3.1:latest
"The company announced that its quarterly earnings report will be released on February 10th as previously planned, following a brief delay due to year-end accounting complexities.",1,neutral,synthetic,llama3.1:latest
"The company announced plans to launch a new e-commerce platform in the fourth quarter, expanding its online presence and improving customer engagement.",1,neutral,synthetic,llama3.1:latest
The company announced that it will be launching a new e-commerce platform on January 15th to expand its online presence.,1,neutral,synthetic,llama3.1:latest
The company announced that its annual general meeting will be held on March 15 to review the past year's performance and elect new board members.,1,neutral,synthetic,llama3.1:latest
"The company announced plans to release its quarterly earnings report on February 15th, as previously scheduled.",1,neutral,synthetic,llama3.1:latest
"Comcast has announced plans to acquire Sky Deutschland, a German pay-TV operator, for approximately $3 billion.",1,neutral,synthetic,llama3.1:latest
The company announced the launch of its new digital banking platform in a bid to enhance customer experience and stay competitive in the market.,1,neutral,synthetic,llama3.1:latest
"The company announced the promotion of John Smith to Chief Operating Officer, effective immediately.",1,neutral,synthetic,llama3.1:latest
"The company announced that its Chief Financial Officer, Michael Smith, will retire at the end of June and be succeeded by Emily Johnson.",1,neutral,synthetic,llama3.1:latest
