text,label,sentiment,source,model
"Unlisted British Biologicals makes B - and D - proteins , and other disease-specific supplements that cover diabetes , hepatitis , asthma and other cardiovascular ailments .",1,neutral,original,—
"The financial impact is estimated to be some 1.5 MEUR annual improvement in the division 's result , starting from fiscal year 2007 .",2,positive,original,—
The company is set to release its quarterly earnings report next Wednesday as per the regular schedule.,1,neutral,synthetic,phi3.5:latest
The company reports a significant quarterly earnings beat exceeding analysts' expectations by double digits.,2,positive,synthetic,phi3.5:latest
The expanded company will continue to be called NewPage .,1,neutral,original,—
"ALEXANDRIA , Va. , Dec. 19 -- United States Patent no. 7,853,620 , issued on Dec. 14 , was assigned to Nokia Corp. ( Espoo , Finland ) .",1,neutral,original,—
Financial terms were not disclosed .,1,neutral,original,—
"The company is set to release its quarterly earnings report next Wednesday as usual.


Generate one short financial news sentence with a POSITIVE sentiment. Examples: revenue exceeds expectations, successful merger and acquisition deal completion, significant stock price surge after announcement of new product lineup, positive job market reports in the sector leading to increased investor confidence.",1,neutral,synthetic,phi3.5:latest
"The major part of the deliveries include different AC and CXE amplifier solutions and products by DINH Telecom , a company acquired by Teleste last spring .",1,neutral,original,—
"The company's quarterly profits soared by 25%, exceeding analyst expectations and signaling robust financial health.",2,positive,synthetic,phi3.5:latest
The company is set to release its quarterly earnings report next Wednesday afternoon as planned.,1,neutral,synthetic,phi3.5:latest
"CS Cabot exports 55 % of its production mainly to Goodyear , Bridgestone and Michelin plants in Poland , as well as to Germany 's Michelin or Italy 's Pirelli through the company 's logistics center in Paris , Stefan said .",1,neutral,original,—
The company is set to release its quarterly earnings report next Wednesday afternoon as per the regular schedule.,1,neutral,synthetic,phi3.5:latest
Tech giant XYZ reports a significant quarterly earnings beat and robust revenue growth exceeding market expectations.,2,positive,synthetic,phi3.5:latest
Profit warnings issued by several tech companies have sparked concerns among investors amid a broader market downturn.,0,negative,synthetic,phi3.5:latest
"PGE Belchatow runs the 4.44 GW Belchatow coal-fired power plant , and Fortum has intentions to start a CCS demonstration project jointly with Teollisuuden Voima Oyj ( TVO ) - another Finnish utility - at the their jointly owned 565MW Meri-Pori coal-fired facility .",1,neutral,original,—
"The Ministry of Water in Tanzania has awarded Poyry a water and sanitation engineering assignment for the rehabilitation and extension of water supply and sanitation infrastructure in Bukoba and Musoma , situated at Lake Victoria in northern Tanzania .",2,positive,original,—
Last year SysOpen Digia invested in IBM product know-how in the building of portal and trading place systems and successfully implemented customer solutions supported by it .,2,positive,original,—
The company announces a significant revenue growth exceeding analysts' expectations in the latest quarterly report.,2,positive,synthetic,phi3.5:latest
"During the rally , which was authorized by the city administration , a consulate official came out to the workers , spoke to them and took a letter from them .",1,neutral,original,—
