text,label,sentiment,source,model
"Unlisted British Biologicals makes B - and D - proteins , and other disease-specific supplements that cover diabetes , hepatitis , asthma and other cardiovascular ailments .",1,neutral,original,—
"The financial impact is estimated to be some 1.5 MEUR annual improvement in the division 's result , starting from fiscal year 2007 .",2,positive,original,—
"The company has announced the appointment of Jane Smith as its new Chief Financial Officer, effective from June 1st.",1,neutral,synthetic,llama3.1:latest
"The company's quarterly profits surged 25% to $1.2 billion, exceeding analyst expectations and boosting investor confidence in the tech sector.",2,positive,synthetic,llama3.1:latest
The expanded company will continue to be called NewPage .,1,neutral,original,—
"ALEXANDRIA , Va. , Dec. 19 -- United States Patent no. 7,853,620 , issued on Dec. 14 , was assigned to Nokia Corp. ( Espoo , Finland ) .",1,neutral,original,—
Financial terms were not disclosed .,1,neutral,original,—
The company announced that it will be holding its annual general meeting on May 15th to review the previous year's performance and elect new board members.,1,neutral,synthetic,llama3.1:latest
"The major part of the deliveries include different AC and CXE amplifier solutions and products by DINH Telecom , a company acquired by Teleste last spring .",1,neutral,original,—
Shares of tech giant Intel surged 12% after the company reported a significant quarterly earnings beat and raised its full-year outlook.,2,positive,synthetic,llama3.1:latest
The company's annual general meeting is scheduled to take place on March 15 at the Hilton Hotel downtown.,1,neutral,synthetic,llama3.1:latest
"CS Cabot exports 55 % of its production mainly to Goodyear , Bridgestone and Michelin plants in Poland , as well as to Germany 's Michelin or Italy 's Pirelli through the company 's logistics center in Paris , Stefan said .",1,neutral,original,—
"The company announced that its Chief Financial Officer, Mark Thompson, will be stepping down at the end of the fiscal year to pursue other opportunities.",1,neutral,synthetic,llama3.1:latest
"The company's quarterly profits surged 25% year-over-year, exceeding analyst expectations and boosting its stock price by over 15%.",2,positive,synthetic,llama3.1:latest
The company's shares plummeted by 12% after it issued a surprise profit warning citing declining sales in its key markets.,0,negative,synthetic,llama3.1:latest
"PGE Belchatow runs the 4.44 GW Belchatow coal-fired power plant , and Fortum has intentions to start a CCS demonstration project jointly with Teollisuuden Voima Oyj ( TVO ) - another Finnish utility - at the their jointly owned 565MW Meri-Pori coal-fired facility .",1,neutral,original,—
"The Ministry of Water in Tanzania has awarded Poyry a water and sanitation engineering assignment for the rehabilitation and extension of water supply and sanitation infrastructure in Bukoba and Musoma , situated at Lake Victoria in northern Tanzania .",2,positive,original,—
Last year SysOpen Digia invested in IBM product know-how in the building of portal and trading place systems and successfully implemented customer solutions supported by it .,2,positive,original,—
"Tech giant Alphabet's quarterly revenue surged 23% to $61.9 billion, exceeding analyst estimates and driving the company's shares up by over 5%.",2,positive,synthetic,llama3.1:latest
"During the rally , which was authorized by the city administration , a consulate official came out to the workers , spoke to them and took a letter from them .",1,neutral,original,—
The company announced that its Chief Financial Officer will be retiring at the end of June to pursue other opportunities.,1,neutral,synthetic,llama3.1:latest
